Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
rolling_24,1487,432.0,16211.0,14668.0,27.51581790123457,57.91821873753021,0.7332572533053688,-3.5717592592592604
rolling_168,1487,432.0,16211.0,13980.714285714284,27.49691358024691,59.43775417919438,0.7327534801472251,-5.162698412698412
rolling_336,1487,432.0,16211.0,14556.357142857145,27.433504188712522,58.640230650824016,0.7310637104141514,-3.830191798941798
seasonal_daily,1487,432.0,16211.0,14668.0,34.238425925925924,72.26998954537692,0.9124051569921658,-3.571759259259259
seasonal_weekly,1487,432.0,16211.0,13542.0,36.92824074074074,76.87888803778269,0.9840848806366048,-6.1782407407407405
direct_mean,1511,432.0,14058.0,14602.158730158731,24.28402410346855,47.617319526379454,0.7462440185444881,1.2596266901822475
rolling_24,1511,432.0,14058.0,16211.0,26.027391975308642,51.6786080510359,0.7998174230568598,4.983796296296294
rolling_168,1511,432.0,14058.0,14362.0,24.319775132275137,47.788411613910114,0.747342641708839,0.7037037037037025
rolling_336,1511,432.0,14058.0,14788.571428571428,24.521301807760143,47.74131120293089,0.7535355229017201,1.691137566137567
seasonal_daily,1511,432.0,14058.0,16211.0,36.50231481481482,80.83658355435824,1.1217100583297765,4.983796296296297
seasonal_weekly,1511,432.0,14058.0,14990.0,32.83796296296296,70.01560672582353,1.0091051358656993,2.1574074074074074
direct_mean,1535,432.0,15173.0,14593.65625,25.112238377700617,50.64308305284689,0.7149862900656868,-1.341073495370372
rolling_24,1535,432.0,15173.0,14058.0,25.026234567901238,51.04798713701394,0.7125376216524968,-2.58101851851852
rolling_168,1535,432.0,15173.0,14228.857142857143,25.192184744268076,50.823044492994626,0.7172624932131951,-2.1855158730158744
rolling_336,1535,432.0,15173.0,14693.142857142859,25.20276675485009,50.65175146800223,0.7175637802738574,-1.1107804232804241
seasonal_daily,1535,432.0,15173.0,14058.0,32.261574074074076,67.68973676239968,0.9185395109734397,-2.5810185185185186
seasonal_weekly,1535,432.0,15173.0,15553.0,34.38425925925926,74.26874997077992,0.9789758122981612,0.8796296296296297
direct_mean,1559,432.0,14272.0,14602.56923076923,25.565441001899334,48.53848830076672,0.7738418240485224,0.7652065527065527
rolling_24,1559,432.0,14272.0,15173.0,26.17361111111111,49.574578086336466,0.7922505605381166,2.085648148148149
rolling_168,1559,432.0,14272.0,14174.57142857143,25.310212742504408,48.48372672244991,0.76611630498612,-0.2255291005291015
rolling_336,1559,432.0,14272.0,14640.57142857143,25.53931051587302,48.43695089253852,0.7730508788436901,0.8531746031746036
